interfaceFqn	status	reason	path
org.apache.hadoop.hbase.executor.ExecutorServiceJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/executor/ExecutorServiceJVMInterface.java
org.apache.hadoop.hbase.master.procedure.MasterProcedureSchedulerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/MasterProcedureSchedulerJVMInterface.java
org.apache.hadoop.hbase.security.access.UserPermissionJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/UserPermissionJVMInterface.java
org.apache.hadoop.hbase.client.metrics.ServerSideScanMetricsJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/metrics/ServerSideScanMetricsJVMInterface.java
org.apache.hadoop.hbase.util.IdLockJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/util/IdLockJVMInterface.java
org.apache.hadoop.hbase.executor.EventHandlerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/executor/EventHandlerJVMInterface.java
org.apache.hadoop.hbase.master.locking.LockManagerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/locking/LockManagerJVMInterface.java
org.apache.hadoop.hbase.filter.ByteArrayComparableJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/filter/ByteArrayComparableJVMInterface.java
org.apache.hadoop.hbase.favored.FavoredNodesPlanJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/favored/FavoredNodesPlanJVMInterface.java
org.apache.hadoop.hbase.client.locking.EntityLockJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/client/locking/EntityLockJVMInterface.java
org.apache.hadoop.hbase.master.MasterFileSystemJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterFileSystemJVMInterface.java
org.apache.hadoop.hbase.master.zksyncer.MetaLocationSyncerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/zksyncer/MetaLocationSyncerJVMInterface.java
org.apache.hadoop.hbase.quotas.ActivePolicyEnforcementJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/ActivePolicyEnforcementJVMInterface.java
org.apache.hadoop.hbase.regionserver.compactions.CompactionProgressJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/CompactionProgressJVMInterface.java
org.apache.hadoop.hbase.nio.RefCntJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/nio/RefCntJVMInterface.java
org.apache.hadoop.hbase.regionserver.SystemExitWhenAbortTimeoutJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/SystemExitWhenAbortTimeoutJVMInterface.java
org.apache.hadoop.hbase.master.locking.LockProcedureJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/locking/LockProcedureJVMInterface.java
org.apache.hadoop.hbase.regionserver.OperationStatusJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/OperationStatusJVMInterface.java
org.apache.hadoop.hbase.StoppableJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/StoppableJVMInterface.java
org.apache.hadoop.hbase.regionserver.RSRpcServicesJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RSRpcServicesJVMInterface.java
org.apache.hadoop.hbase.regionserver.ShipperJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ShipperJVMInterface.java
org.apache.hadoop.hbase.client.RowMutationsJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/RowMutationsJVMInterface.java
org.apache.hadoop.hbase.regionserver.RegionSplitPolicyJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RegionSplitPolicyJVMInterface.java
org.apache.hadoop.hbase.mob.MobFileCacheJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/mob/MobFileCacheJVMInterface.java
org.apache.hadoop.hbase.regionserver.CompactionCheckerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/CompactionCheckerJVMInterface.java
org.apache.hadoop.hbase.regionserver.MemStoreSizeJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreSizeJVMInterface.java
org.apache.hadoop.hbase.wal.WALEditJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/wal/WALEditJVMInterface.java
org.apache.hadoop.hbase.master.MetricsAssignmentManagerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/MetricsAssignmentManagerJVMInterface.java
org.apache.hadoop.hbase.master.normalizer.RegionNormalizerManagerJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/normalizer/RegionNormalizerManagerJVMInterface.java
org.apache.hadoop.hbase.regionserver.CompactSplitJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/CompactSplitJVMInterface.java
org.apache.hadoop.hbase.regionserver.StoreConfigInformationJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreConfigInformationJVMInterface.java
org.apache.hadoop.hbase.quotas.SpaceQuotaSnapshotJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/quotas/SpaceQuotaSnapshotJVMInterface.java
org.apache.hadoop.hbase.regionserver.MiniBatchOperationInProgressJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MiniBatchOperationInProgressJVMInterface.java
org.apache.hadoop.hbase.exceptions.HBaseExceptionJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/exceptions/HBaseExceptionJVMInterface.java
org.apache.hadoop.hbase.regionserver.compactions.CompactionConfigurationJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/CompactionConfigurationJVMInterface.java
org.apache.hadoop.hbase.regionserver.ScannerContextJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ScannerContextJVMInterface.java
org.apache.hadoop.hbase.regionserver.RegionCoprocessorHostJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RegionCoprocessorHostJVMInterface.java
org.apache.hadoop.hbase.client.RegionLoadStatsJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/RegionLoadStatsJVMInterface.java
org.apache.hadoop.hbase.conf.PropagatingConfigurationObserverJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-common/src/main/java/org/apache/hadoop/hbase/conf/PropagatingConfigurationObserverJVMInterface.java
org.apache.hadoop.hbase.regionserver.HRegionJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionJVMInterface.java
org.apache.hadoop.hbase.regionserver.RegionJVMInterface	generated	ok	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RegionJVMInterface.java
