interfaceFqn	originalClassFile	outcome	bridgesAdded	reason
org.apache.hadoop.hbase.metrics.MetricRegistryInfoJVMInterface	/Users/allenwang/xlab/hbase/hbase-metrics-api/src/main/java/org/apache/hadoop/hbase/metrics/MetricRegistryInfo.java	implemented	0	
org.apache.hadoop.hbase.security.access.PermissionJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/Permission.java	implemented	0	
org.apache.hadoop.hbase.security.access.UserPermissionJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/UserPermission.java	implemented	0	
org.apache.hadoop.hbase.security.access.TablePermissionJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/TablePermission.java	implemented	0	
org.apache.hadoop.hbase.security.visibility.AuthorizationsJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/security/visibility/Authorizations.java	implemented	0	
org.apache.hadoop.hbase.security.visibility.CellVisibilityJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/security/visibility/CellVisibility.java	implemented	0	
org.apache.hadoop.hbase.quotas.SpaceQuotaSnapshotViewJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/quotas/SpaceQuotaSnapshotView.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.quotas.SpaceQuotaSnapshotJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/quotas/SpaceQuotaSnapshot.java	implemented	0	
org.apache.hadoop.hbase.quotas.QuotaSettingsJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/quotas/QuotaSettings.java	implemented	0	
org.apache.hadoop.hbase.AbortableJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/Abortable.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.zookeeper.ZNodePathsJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/zookeeper/ZNodePaths.java	implemented	0	
org.apache.hadoop.hbase.HRegionLocationJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/HRegionLocation.java	implemented	0	
org.apache.hadoop.hbase.master.RegionStateJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/master/RegionState.java	implemented	0	
org.apache.hadoop.hbase.HRegionInfoJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/HRegionInfo.java	implemented	0	
org.apache.hadoop.hbase.replication.ReplicationPeerConfigJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/replication/ReplicationPeerConfig.java	implemented	0	
org.apache.hadoop.hbase.CacheEvictionStatsJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/CacheEvictionStats.java	implemented	0	
org.apache.hadoop.hbase.filter.FilterJVMInterface	/Users/allenwang/xlab/hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/filter/Filter.java	implemented	0	
